2024-02-13 01:18:41,872 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 01:18:46,295 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 01:22:03,167 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-13 01:24:03,260 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 01:24:08,081 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 01:26:50,154 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-13 01:32:28,331 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 01:32:33,011 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 01:43:57,786 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
2024-02-13 01:50:22,895 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: c0:89:c5:6d:2f:4b
2024-02-13 01:50:28,292 | MainThread   | [INFO    ] | _connect            |: Connected to c0:89:c5:6d:2f:4b
2024-02-13 02:08:12,115 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from C0:89:C5:6D:2F:4B
